wire_name,sub_spec_phase_tag,mention_count
AB_CANARY_PROMOTED,S15.2,6
AB_ROLLBACK_PERFORMED,S15.2,9
ACTION_DISPATCHED,S0.3,4
ACTION_DISPATCHED,S10.1,5
ACTION_DISPATCHED,S6.3,2
ACTION_POLICY_DECISION,S0.3,5
ACTION_POLICY_DECISION,S10.1,4
ACTION_POLICY_DECISION,S6.3,1
ACTION_RECEIVED,S0.3,6
ACTION_RECEIVED,S10.1,4
ACTION_RECEIVED,S5.3,1
ACTION_RECEIVED,S6.3,3
ACTION_VALIDATED,S0.3,7
ACTION_VALIDATED,S10.1,4
ACTION_VALIDATED,S6.3,4
ADAPTER_ACTION_KIND_VIOLATION,S10.1,1
ADAPTER_ACTION_KIND_VIOLATION,S15.3,3
ADAPTER_CAPABILITY_VIOLATION,S10.1,1
ADAPTER_CAPABILITY_VIOLATION,S15.3,6
ADAPTER_DEGRADED,S10.1,9
ADAPTER_DEGRADED,S15.3,2
ADAPTER_DEGRADED,S6.3,1
ADAPTER_DEPRECATED_DISPATCH,S10.1,2
ADAPTER_DEPRECATED_DISPATCH,S15.3,1
ADAPTER_DEREGISTERED,S10.1,6
ADAPTER_DEREGISTERED,S15.3,3
ADAPTER_DOWNGRADE_REJECTED,S10.1,1
ADAPTER_DOWNGRADE_REJECTED,S15.3,4
ADAPTER_HEALTHY,S10.1,2
ADAPTER_HEALTHY,S15.3,2
ADAPTER_HOT_RELOADED,S10.1,1
ADAPTER_HOT_RELOADED,S15.3,2
ADAPTER_LIFECYCLE_ILLEGAL_TRANSITION,S15.3,2
ADAPTER_REGISTERED,S10.1,3
ADAPTER_REGISTERED,S15.3,5
ADAPTER_REGISTRATION_REJECTED,S10.1,7
ADAPTER_REGISTRATION_REJECTED,S15.3,28
ADAPTER_REGISTRATION_REQUESTED,S10.1,2
ADAPTER_REGISTRATION_REQUESTED,S15.3,2
AGENT_BACKEND_DEGRADED,S13.1,4
AGENT_CROSS_GROUP_COORDINATION_BLOCKED,S13.1,5
AGENT_DIRECT_FS_WRITE_BLOCKED,S0.4,1
AGENT_DIRECT_FS_WRITE_BLOCKED,S13.1,7
AGENT_INTERRUPTED_BY_RECOVERY,S13.1,5
AGENT_INTER_MESSAGE_REJECTED,S13.1,1
AGENT_INTER_MESSAGE_SENT,S13.1,3
AGENT_LIFECYCLE_TRANSITIONED,S13.1,13
AGENT_MEMORY_CROSS_USER_DENIED,S13.1,5
AGENT_MEMORY_READ,S13.1,1
AGENT_MEMORY_WRITE,S13.1,6
AGENT_PLAN_ABANDONED,S13.1,3
AGENT_PLAN_BUNDLED_APPROVED,S13.1,3
AGENT_PROMPT_INJECTION_DETECTED,S13.1,3
AGENT_PROPOSAL_APPROVED,S13.1,8
AGENT_PROPOSAL_DENIED,S13.1,3
AGENT_PROPOSAL_EMITTED,S13.1,9
AGENT_PROPOSAL_EMITTED,S2.4,1
AGENT_REGISTERED,S13.1,3
AGENT_RETIRED,S13.1,4
AGENT_SELF_GRADING_BLOCKED,S0.4,1
AGENT_SELF_GRADING_BLOCKED,S13.1,8
AGENT_SELF_GRADING_BLOCKED,S6.2,1
AGENT_SELF_GRADING_BLOCKED,S6.4,1
AIOS_ROOT_KEY_ROTATED,S11.1,2
AI_DIRECT_INTERNET_DENIED,S0.4,1
AI_DIRECT_INTERNET_DENIED,S10.1,1
AI_DIRECT_INTERNET_DENIED,S13.1,4
AI_DIRECT_INTERNET_DENIED,S13.2,2
AI_DIRECT_INTERNET_DENIED,S2.1,2
AI_DIRECT_INTERNET_DENIED,S2.4,1
AI_DIRECT_INTERNET_DENIED,S8.1,8
AI_INTERACTIVE_QUEUE_DOWNGRADE,S0.3,3
AI_INTERACTIVE_QUEUE_DOWNGRADE,S0.4,1
AI_INTERACTIVE_QUEUE_DOWNGRADE,S10.1,3
AI_PROVIDER_MODE_SET,S9.2,11
AI_REMOVABLE_DEVICE_BLOCKED,S10.1,2
AI_REMOVABLE_DEVICE_BLOCKED,S8.3,6
