consumer,producer
S0.3,S0.1
S0.3,S1.1
S0.3,S1.3
S0.3,S10.1
S0.3,S11.1
S0.3,S13.1
S0.3,S2.1
S0.3,S2.3
S0.3,S2.4
S0.3,S3.1
S0.3,S3.2
S0.3,S4.1
S0.3,S5.1
S0.3,S5.3
S0.3,S6.1
S0.3,S6.2
S0.3,S7.1
S0.3,S7.4
S0.3,S9.1
S1.1,S0.1
S1.2,S0.1
S1.2,S1.1
S1.3,S0.1
S1.3,S1.2
S10.1,S0.1
S10.1,S2.3
S10.1,S2.4
S10.1,S3.1
S10.1,S3.2
S10.1,S5.3
S10.1,S5.4
S11.1,S3.2
S11.1,S5.2
S11.1,S8.1
S11.1,S8.5
S11.1,S9.1
S11.2,S11.1
S11.2,S12.1
S11.2,S3.1
S11.2,S3.2
S11.2,S5.3
S11.3,S11.1
S11.3,S12.1
S11.3,S5.3
S12.1,S10.1
S12.1,S11.1
S12.1,S3.2
S12.1,S5.3
S12.1,S8.1
S12.2,S0.1
S12.2,S1.3
S12.2,S2.3
S12.2,S2.4
S12.2,S3.1
S12.3,S0.1
S12.3,S11.1
S12.3,S12.1
S12.3,S3.2
S12.3,S8.2
S12.4,S0.1
S12.4,S11.1
S12.4,S3.1
S12.4,S5.3
S13.1,S0.1
S13.1,S1.3
S13.1,S2.3
S13.1,S3.1
S13.1,S4.1
S13.1,S5.1
S13.1,S5.2
S13.1,S8.1
S13.2,S0.1
S13.2,S1.1
S13.2,S1.2
S13.2,S11.1
S13.2,S13.1
S13.2,S14.1
S13.2,S5.2
S13.2,S8.1
S14.1,S10.1
S14.1,S13.1
S14.1,S2.3
S14.1,S5.2
S14.1,S8.1
S14.1,S9.1
S14.2,S0.1
S14.2,S14.1
S14.2,S2.4
S14.2,S3.1
S15.1,S0.1
S15.1,S1.3
S15.1,S10.1
S15.1,S2.4
S15.1,S3.1
S15.1,S3.2
S15.2,S0.1
S15.2,S10.1
S15.2,S15.1
S15.2,S2.4
S15.3,S0.1
S15.3,S10.1
S15.3,S11.1
